#data counter step time
0.000000 1 63 1217.0
0.000000 2 77 1222.0
0.000000 3 98 1264.0
1.500000 4 108 1266.5
0.000000 5 134 1317.0
1.500000 6 163 1319.5
3.000000 7 198 1322.0
4.500000 8 229 1324.5
6.000000 9 247 1327.0
7.500000 10 252 1329.5
9.000000 11 257 1332.0
10.500000 12 262 1334.5
12.000000 13 265 1337.0
13.500000 14 270 1339.5
0.000000 15 287 1412.0
