#data counter step time
1 1 57 617.0
0 2 59 619.5
1 3 71 622.0
0 4 73 624.5
1 5 92 664.0
1 6 100 665.0
0 7 102 666.5
0 8 105 667.5
1 9 130 717.0
1 10 142 718.0
0 11 157 719.5
1 12 160 719.5
0 13 173 720.5
1 14 174 720.5
0 15 191 722.0
1 16 193 722.0
0 17 205 723.0
1 18 206 723.0
0 19 232 724.5
1 20 233 724.5
0 21 244 725.5
1 22 245 725.5
0 23 255 727.0
1 24 258 727.0
0 25 260 728.0
1 26 263 728.0
0 27 265 729.5
0 28 268 730.5
1 29 281 812.0
0 30 283 814.5
