#data counter step time
3.000000 1 37 613.0
5.000000 2 45 616.0
0.500000 3 56 617.0
0.000000 4 70 622.0
2.000000 5 91 664.0
2.000000 6 99 665.0
2.000000 7 129 717.0
2.000000 8 140 718.0
2.000000 9 156 719.0
2.000000 10 171 720.0
2.000000 11 187 721.0
2.000000 12 204 722.0
2.000000 13 220 723.0
2.000000 14 231 724.0
2.000000 15 243 725.0
2.000000 16 254 726.0
2.000000 17 280 812.0
