#data counter step time
3.000000 1 43 1213.0
5.000000 2 51 1216.0
0.500000 3 62 1217.0
0.000000 4 76 1222.0
2.000000 5 97 1264.0
2.000000 6 105 1265.0
2.000000 7 133 1317.0
2.000000 8 147 1318.0
2.000000 9 160 1319.0
2.000000 10 175 1320.0
2.000000 11 184 1321.0
2.000000 12 203 1322.0
2.000000 13 214 1323.0
2.000000 14 223 1324.0
2.000000 15 237 1325.0
2.000000 16 243 1326.0
2.000000 17 286 1412.0
