#data counter step time
1 1 54 317.0
0 2 56 319.5
1 3 68 322.0
0 4 70 324.5
1 5 89 364.0
1 6 97 365.0
0 7 99 366.5
0 8 102 367.5
1 9 127 417.0
1 10 139 418.0
0 11 154 419.5
1 12 157 419.5
0 13 170 420.5
1 14 171 420.5
0 15 188 422.0
1 16 190 422.0
0 17 202 423.0
1 18 203 423.0
0 19 229 424.5
1 20 230 424.5
0 21 241 425.5
1 22 242 425.5
0 23 252 427.0
1 24 255 427.0
0 25 257 428.0
1 26 260 428.0
0 27 262 429.5
0 28 265 430.5
1 29 278 512.0
0 30 280 514.5
