#data counter step time
6.500000 1 49 616.5
3.000000 2 60 619.5
11.000000 3 63 622.0
2.500000 4 74 624.5
4.500000 5 103 666.5
4.500000 6 106 667.5
4.500000 7 158 719.5
4.500000 8 176 720.5
5.000000 9 198 722.0
5.000000 10 208 723.0
5.500000 11 234 724.5
5.500000 12 247 725.5
6.000000 13 256 727.0
6.000000 14 261 728.0
6.500000 15 266 729.5
6.500000 16 269 730.5
4.500000 17 284 814.5
